feature,coef,ci_lo,ci_hi,significant,ols_coef,ols_ci_lo,ols_ci_hi,ols_p,outcome,is_aspect,gbm_gain_share,label
sent_value,-0.014540104519690959,-0.03158179149436195,0.0013110178862414835,False,-0.0073616772786485206,-0.0225730049656013,0.007849650408304258,0.34285229245571014,price_premium,True,0.03889051711837045,Value for money - sentiment
talk_value,-0.029105193711522214,-0.04671144584268852,-0.014138250614464234,True,-0.025119585233839597,-0.04078662743001656,-0.00945254303766263,0.0016751893509675733,price_premium,True,0.042927976002129734,Value for money - how often mentioned
sent_accuracy,0.022545378131801228,0.00574540666379432,0.037575201225792214,True,0.02249795249061204,0.007472196859804929,0.03752370812141915,0.0033393536536806896,price_premium,True,0.039333247762245845,Accuracy vs listing - sentiment
talk_accuracy,0.01326125185988044,-0.0024403039502452536,0.02908378698074674,False,0.019559136456218203,0.003958675137078822,0.035159597775357584,0.01399810005972447,price_premium,True,0.043647782696240124,Accuracy vs listing - how often mentioned
sent_noise,-0.007964156140927322,-0.02191860779166211,0.009246085415761569,False,-0.004480131259448112,-0.019414343939630676,0.010454081420734451,0.5565512211384517,price_premium,True,0.04466402492053295,Noise / disturbance - sentiment
talk_noise,-0.00031810400682478167,-0.016308642394154596,0.01698559056626032,False,-0.008697616422963683,-0.023935234922601356,0.00654000207667399,0.2632487894141876,price_premium,True,0.03876807983754889,Noise / disturbance - how often mentioned
sent_space_comfort,0.018379701207417783,-0.0017774206751720479,0.04035356901064625,False,0.021181802713246472,0.0017396816090353324,0.04062392381745761,0.03273311529851554,price_premium,True,0.04443161274345321,Space / comfort - sentiment
talk_space_comfort,0.020885846358049798,0.003978700617221096,0.03738679025337808,True,0.022441102011521556,0.006418983148281741,0.03846322087476137,0.006047597414621278,price_premium,True,0.030497229761430864,Space / comfort - how often mentioned
log_accommodates,-0.07024576892699501,-0.09417817279596563,-0.04573307600246964,True,-0.07711208205502605,-0.10337334207602147,-0.050850822034030636,8.657635070862781e-09,price_premium,False,0.10608774967356657,Capacity (log)
bedrooms,0.08227165126750169,0.05959967508728344,0.10828659337490144,True,0.0822120829836195,0.06106161694174812,0.10336254902549087,2.568382893972906e-14,price_premium,False,0.06838051229749448,Bedrooms
log_reviews,-0.04569017106814163,-0.061437682405247156,-0.027814798517610137,True,-0.0359021330939666,-0.05040918746293329,-0.021395078724999912,1.2313263207836774e-06,price_premium,False,0.056370170341373135,Review count (log)
host_tenure_years,0.012974661002205115,-0.0016574895196858471,0.02994228242933325,False,0.01328529122959262,-0.001166596500501802,0.027737178959687043,0.07158470818012039,price_premium,False,0.03293614817325561,Host tenure (years)
n_amenities,-0.0026610829150652067,-0.01837888503513467,0.013054304536847484,False,0.000730000456793065,-0.014823317618030902,0.016283318531617033,0.9267047140837908,price_premium,False,0.017352315369849537,Amenities listed
min_nights,0.01768521307915525,0.0008691274674054911,0.03494360516371636,True,0.013629196436435523,-0.0061822670313225435,0.03344065990419359,0.17754669127823963,price_premium,False,0.029997054536876643,Minimum nights
