term,z,n_lower,n_upper
destination,-1.3120278827653107,18.0,30.0
keypad,-1.3120278827653107,18.0,30.0
journey,-1.3120278827653107,18.0,30.0
tip,-1.30627770651008,27.0,42.0
share,-1.2921958536808644,124.0,163.0
cosy,-1.2836045353952144,111.0,147.0
stroll,-1.2796771793535635,45.0,65.0
airbnbs,-1.279213068156694,16.0,27.0
thumbs,-1.2687906408332859,25.0,39.0
ability,-1.266839072271553,22.0,35.0
gone,-1.26596455527739,57.0,80.0
trail,-1.263056621163397,86.0,116.0
chat,-1.2618208810131406,122.0,160.0
east,-1.246825702505947,58.0,81.0
judith's,-1.2456354493593182,0.0,49.0
angela's,-1.230269161491612,23.0,36.0
records,-1.229183248075227,20.0,32.0
suggested,-1.2287290046035726,55.0,77.0
cooked,-1.2280169019912208,59.0,82.0
showed,-1.2198646555636716,253.0,316.0
comfy,-1.2106706905853677,736.0,881.0
meeting,-1.208943394391944,146.0,188.0
wedding,-1.2080856284960393,151.0,194.0
relaxed,-1.2060433453396902,90.0,120.0
spacious,-1.2040779180889543,1003.0,1190.0
surprised,-1.200012606395955,86.0,115.0
regular,-1.19702023405078,34.0,50.0
hello,-1.1951916751098757,24.0,37.0
hairdryer,-1.1906432587062241,21.0,33.0
hangers,-1.1906432587062241,21.0,33.0
traveling,-1.1885533064890401,252.0,314.0
hotels,-1.185544685835508,96.0,127.0
exploring,-1.1773930959833374,320.0,394.0
lights,-1.1734660929364018,62.0,85.0
you'd,-1.1636663155401643,71.0,96.0
tired,-1.1614991225677824,25.0,38.0
loads,-1.1614037595593683,39.0,56.0
grateful,-1.1558750919923408,63.0,86.0
choices,-1.1555245474757363,32.0,47.0
pics,-1.1514390328210555,16.0,26.0
ease,-1.137788265129787,77.0,103.0
player,-1.1281744551961128,33.0,48.0
waking,-1.1193919924706959,37.0,53.0
stellar,-1.1185750374616668,23.0,35.0
respectful,-1.1151246029326167,83.0,110.0
true,-1.1146860121465278,111.0,144.0
lined,-1.1109853669863434,20.0,31.0
sweetest,-1.1109853669863434,20.0,31.0
perk,-1.107805188210019,17.0,27.0
ambiance,-1.107805188210019,17.0,27.0
insight,-1.107805188210019,17.0,27.0
advantage,-1.103618640446246,93.0,122.0
daughter's,-1.0978893076822525,27.0,40.0
conveniences,-1.0978893076822525,27.0,40.0
leading,-1.092585733402347,54.0,74.0
add,-1.092585733402347,54.0,74.0
i'll,-1.0883994726776454,138.0,176.0
biking,-1.08479242189664,24.0,36.0
surprise,-1.0787012586315965,81.0,107.0
built,-1.0758662870895845,35.0,50.0
excited,-1.0678041102776485,28.0,41.0
anybody,-1.0678041102776485,28.0,41.0
greatly,-1.0632014529583333,73.0,97.0
residence,-1.0570878481796335,32.0,46.0
famous,-1.0523627442710026,25.0,37.0
plenty,-1.0510027565018494,929.0,1097.0
word,-1.0508231859690411,36.0,51.0
immediate,-1.0472645720254947,44.0,61.0
sightseeing,-1.045631424255889,88.0,115.0
taxi,-1.045631424255889,88.0,115.0
base,-1.0399237380875537,185.0,231.0
you'll,-1.0369945955344453,138.0,175.0
followed,-1.0274276642764997,19.0,29.0
counter,-1.0264692330361669,37.0,52.0
zoo,-1.0260130321097938,45.0,62.0
eager,-1.0203216637660473,16.0,25.0
arrived,-1.013381079322521,1073.0,1261.0
attached,-1.0052343988680472,46.0,63.0
visitors,-0.9889892781779469,78.0,102.0
pass,-0.9821213665793345,88.0,114.0
christmas,-0.9814646147843092,43.0,59.0
leaves,-0.9801314705827631,35.0,49.0
museums,-0.9724034577586858,24.0,35.0
monorail,-0.9707628797918326,52.0,70.0
instant,-0.9548791639389353,21.0,31.0
unobtrusive,-0.9548791639389353,21.0,31.0
invited,-0.9423622833410349,58.0,77.0
loves,-0.9413277925509584,25.0,36.0
decorating,-0.939441346267376,18.0,27.0
plus,-0.9361347297618172,448.0,536.0
taken,-0.9360466989560453,122.0,154.0
hospitable,-0.9351366661389312,198.0,244.0
packed,-0.9343634346213912,29.0,41.0
round,-0.921121488129982,22.0,32.0
end,-0.9106362988433765,253.0,308.0
hiking,-0.9095549582117396,38.0,52.0
goes,-0.9053824909571271,94.0,120.0
weeks,-0.9047486636664852,125.0,157.0
anytime,-0.902787658696547,65.0,85.0
permit,-0.902240277704078,19.0,28.0
walked,-0.9008985804029984,418.0,500.0
brief,-0.8956713795264685,75.0,97.0
kindly,-0.8920939408437106,61.0,80.0
american,-0.8857086260190693,16.0,24.0
cake,-0.8827406659355133,27.0,38.0
cup,-0.88163338968291,57.0,75.0
sorts,-0.8813527247688476,31.0,43.0
commercial,-0.866926797423123,20.0,29.0
pcc,-0.866926797423123,20.0,29.0
engaging,-0.8579643754544028,24.0,34.0
funny,-0.8561290460883609,32.0,44.0
settled,-0.8541148995525789,88.0,112.0
earth,-0.8463795677593278,17.0,25.0
favorites,-0.8463795677593278,17.0,25.0
layout,-0.8442865093341071,64.0,83.0
wants,-0.8417967140410847,69.0,89.0
nearby,-0.8405995410237888,749.0,880.0
locks,-0.831905951009321,60.0,78.0
strip,-0.828367289456287,29.0,40.0
everyday,-0.8237758865369967,42.0,56.0
adventure,-0.8152432468577623,38.0,51.0
gasworks,-0.8092763882341723,18.0,26.0
immediately,-0.8089436458802669,209.0,254.0
ate,-0.8074492970884946,52.0,68.0
plants,-0.8025869308046647,30.0,41.0
reserved,-0.7998848940207097,26.0,36.0
professional,-0.7991622684279376,103.0,129.0
traveler,-0.7846530664792226,63.0,81.0
houses,-0.7839828246963213,68.0,87.0
looked,-0.7830250535942518,189.0,230.0
lyft,-0.777275920413332,49.0,64.0
blow,-0.7741741513174456,19.0,27.0
daily,-0.7729671234421693,54.0,70.0
he's,-0.7694107844931236,64.0,82.0
talking,-0.7551742451918645,70.0,89.0
washer,-0.7551064143353658,259.0,311.0
appliances,-0.7530037164083629,91.0,114.0
events,-0.7525561617366172,41.0,54.0
fell,-0.7397640514563824,56.0,72.0
movies,-0.7326954774036448,42.0,55.0
library,-0.7301812383685822,33.0,44.0
hopefully,-0.7247237278656212,52.0,67.0
bunch,-0.7236133795356113,57.0,73.0
hoping,-0.719813355859865,38.0,50.0
updated,-0.7095792130816525,48.0,62.0
options,-0.7078248935396598,193.0,233.0
briefly,-0.691972854504523,49.0,63.0
afternoon,-0.6910318441733562,80.0,100.0
catch,-0.6835658891481222,86.0,107.0
picked,-0.68332668133687,97.0,120.0
allows,-0.6790525911313724,22.0,30.0
equally,-0.6790525911313724,22.0,30.0
atmosphere,-0.6773358605738713,92.0,114.0
user,-0.6759232314931447,18.0,25.0
offers,-0.6735273704929919,76.0,95.0
throw,-0.6604629022920826,27.0,36.0
pacific,-0.6604629022920826,27.0,36.0
markets,-0.6578056747971488,46.0,59.0
planning,-0.6571607594366982,105.0,129.0
sense,-0.6509842681891318,67.0,84.0
helping,-0.6509842681891318,67.0,84.0
chihuly,-0.650245546668863,23.0,31.0
contained,-0.650245546668863,23.0,31.0
chose,-0.6478229026875069,89.0,110.0
approachable,-0.6431184820817868,19.0,26.0
interactions,-0.6431184820817868,19.0,26.0
restful,-0.6406302934833358,42.0,54.0
pack,-0.6370795729268823,68.0,85.0
showing,-0.6220368607538038,43.0,55.0
provide,-0.6166441004038726,187.0,224.0
package,-0.612019936624842,20.0,27.0
perfectly,-0.5913638000296617,405.0,475.0
memory,-0.5848017408155052,35.0,45.0
paths,-0.5844392625454694,40.0,51.0
reservations,-0.5824639361711884,21.0,28.0
lounging,-0.5713114891248243,17.0,23.0
hit,-0.5687925880287034,46.0,58.0
patient,-0.5644821074647323,36.0,46.0
conditioner,-0.5625789925468587,85.0,104.0
park,-0.5565879517616399,814.0,942.0
ideal,-0.5546953555315526,273.0,322.0
stories,-0.5475636869326591,42.0,53.0
express,-0.5465303645774815,27.0,35.0
ironing,-0.5440087562308771,32.0,41.0
returned,-0.5414571510307338,53.0,66.0
laid,-0.540736130682651,141.0,169.0
disappoint,-0.5392523785843204,18.0,24.0
iron,-0.5365200641650375,70.0,86.0
sister,-0.5336976828367037,59.0,73.0
answers,-0.5274285521465869,23.0,30.0
additionally,-0.5255145067072418,38.0,48.0
girlfriend,-0.5238049354794274,143.0,171.0
map,-0.5068516430742085,84.0,102.0
kind,-0.503603397948257,838.0,967.0
warmer,-0.5017157505159163,24.0,31.0
surely,-0.5017157505159163,24.0,31.0
remodeled,-0.48858138860856043,40.0,50.0
leave,-0.48820912482544326,359.0,419.0
trader,-0.4817965666537467,57.0,70.0
japanese,-0.48024906649028204,20.0,26.0
speak,-0.4785599394857451,30.0,38.0
baby,-0.4772147798281872,111.0,133.0
visitor,-0.47707356041493015,25.0,32.0
ways,-0.47081287727670584,41.0,51.0
taking,-0.46515413966095837,163.0,193.0
glass,-0.46176803822724893,76.0,92.0
spread,-0.4574344294795533,31.0,39.0
entertaining,-0.45296839326404353,21.0,27.0
grand,-0.45296839326404353,21.0,27.0
plentiful,-0.45296839326404353,21.0,27.0
alki,-0.4454206402972322,127.0,151.0
eating,-0.44407082503672957,102.0,122.0
travelers,-0.4420604948497976,96.0,115.0
accessible,-0.44112608553718646,300.0,350.0
conversation,-0.440356010099994,90.0,108.0
aspects,-0.4306692499592674,27.0,34.0
personality,-0.42660264889271143,38.0,47.0
country,-0.4200311689951805,44.0,54.0
includes,-0.41718704825521397,33.0,41.0
touring,-0.408763488942001,28.0,35.0
accommodation,-0.40278142626035557,145.0,171.0
cruise,-0.4021724182774861,23.0,29.0
accessed,-0.39912982892883847,18.0,23.0
attraction,-0.39912982892883847,18.0,23.0
unusual,-0.39912982892883847,18.0,23.0
closet,-0.3982366441528188,172.0,202.0
evenings,-0.3883372877645966,70.0,84.0
california,-0.3876386727647714,29.0,36.0
detergent,-0.3876386727647714,29.0,36.0
descriptions,-0.3784374335687061,24.0,30.0
dedicated,-0.3784374335687061,24.0,30.0
texted,-0.3747843788542689,41.0,50.0
combination,-0.37157601920474076,19.0,24.0
mid,-0.3612322549050463,36.0,44.0
allow,-0.358358836053128,42.0,51.0
parts,-0.35815120028967934,111.0,131.0
uber,-0.35729897643197844,295.0,342.0
quaint,-0.3500101432654626,172.0,201.0
seeing,-0.3490345408245408,112.0,132.0
spaces,-0.34651498081622334,61.0,73.0
mornings,-0.3436890636444677,93.0,110.0
bought,-0.3426991841518674,49.0,59.0
period,-0.3338408435126678,26.0,32.0
sight,-0.328187832864663,50.0,60.0
job,-0.3240453680191168,162.0,189.0
decision,-0.3206401711279977,21.0,26.0
ensured,-0.3206401711279977,21.0,26.0
played,-0.3128289162040863,27.0,33.0
graciously,-0.3113422654845111,45.0,54.0
rainier,-0.30001568356903674,52.0,62.0
spots,-0.2941137465091504,222.0,257.0
glasses,-0.2919910910392807,34.0,41.0
started,-0.2913186311851214,59.0,70.0
city,-0.2861812228169201,1905.0,2166.0
townhouse,-0.2855138055822141,79.0,93.0
destinations,-0.27766881464159093,41.0,49.0
toothpaste,-0.2744016841025317,23.0,28.0
nervous,-0.27306191099320226,29.0,35.0
watched,-0.27306191099320226,29.0,35.0
pre,-0.27306191099320226,29.0,35.0
pubs,-0.27290302815866363,54.0,64.0
playing,-0.2726765418697252,67.0,79.0
driveway,-0.26797245824751365,74.0,87.0
bag,-0.2661953833300656,61.0,72.0
surroundings,-0.2576416345364165,36.0,43.0
mean,-0.2527821678565715,24.0,29.0
hanging,-0.24348798106683467,83.0,97.0
friend's,-0.23595671522123043,31.0,37.0
communicator,-0.23404623016898532,57.0,67.0
worried,-0.23229260529614534,44.0,52.0
regards,-0.23204874878647497,25.0,30.0
cheers,-0.23204874878647497,25.0,30.0
btw,-0.23084963024360616,19.0,23.0
haven't,-0.23084963024360616,19.0,23.0
usual,-0.22514532057101222,38.0,45.0
cook,-0.22025417072624398,249.0,286.0
hospital,-0.21212882120439042,26.0,31.0
include,-0.20754801078506868,20.0,24.0
replies,-0.20754801078506868,20.0,24.0
italian,-0.20754801078506868,20.0,24.0
additional,-0.20678227914729605,66.0,77.0
month,-0.19732712163115454,130.0,150.0
forgot,-0.19715613286053205,60.0,70.0
condiments,-0.19295811163685078,27.0,32.0
advise,-0.18538383704119674,21.0,25.0
son's,-0.18538383704119674,21.0,25.0
authentic,-0.17447947753028928,28.0,33.0
originally,-0.16424634751717182,22.0,26.0
walkable,-0.14419143345074545,263.0,300.0
definately,-0.13939971117521097,30.0,35.0
took,-0.13771626755595198,544.0,618.0
coming,-0.13710613584272044,332.0,378.0
ice,-0.12652490544734069,59.0,68.0
couches,-0.12468097330797932,24.0,28.0
dish,-0.12468097330797932,24.0,28.0
family's,-0.12468097330797932,24.0,28.0
law,-0.12337936063283036,45.0,52.0
anticipated,-0.12255596439036588,38.0,44.0
coast,-0.12255596439036588,38.0,44.0
transport,-0.12165573809554203,140.0,160.0
pets,-0.12031650598699546,74.0,85.0
photos,-0.1170112469838696,306.0,348.0
brochures,-0.11012151814358723,46.0,53.0
waited,-0.10805542796483433,39.0,45.0
headed,-0.10609702771099505,25.0,29.0
shopping,-0.10251959383287802,309.0,351.0
situated,-0.10040261320543689,173.0,197.0
sized,-0.09422073171024314,84.0,96.0
hub,-0.08665594634573898,19.0,22.0
weather,-0.07862559656986325,184.0,209.0
duplex,-0.0710052253296556,27.0,31.0
disturb,-0.06640164701425874,20.0,23.0
willing,-0.05608081947623083,111.0,126.0
wanting,-0.05564321042781373,73.0,83.0
environment,-0.048371066263723096,89.0,101.0
board,-0.048371066263723096,89.0,101.0
surrounded,-0.0477387937603971,51.0,58.0
lower,-0.04578551067113513,74.0,84.0
zen,-0.03833545557066266,29.0,33.0
pieces,-0.028665779648366026,22.0,25.0
correspondence,-0.028665779648366026,22.0,25.0
knew,-0.021383711562075355,131.0,148.0
alternative,-0.01557097318505673,46.0,52.0
temporary,-0.011009701403555264,23.0,26.0
traveller,-0.011009701403555264,23.0,26.0
choose,0.003525352356502554,95.0,107.0
totally,0.009181103484302882,254.0,286.0
recent,0.020381995946842472,41.0,46.0
pub,0.02223100298538709,25.0,28.0
experienced,0.030462525179681194,58.0,65.0
real,0.03432700136414798,219.0,246.0
thorough,0.03643676832165903,99.0,111.0
decide,0.03793050985191471,26.0,29.0
recycling,0.03793050985191471,26.0,29.0
load,0.03793050985191471,26.0,29.0
shows,0.044974934953103334,43.0,48.0
owners,0.04641170603224603,84.0,94.0
school,0.04823051823685878,35.0,39.0
arriving,0.05050001903281295,117.0,131.0
depicted,0.0530813893791496,27.0,30.0
huge,0.054350040871872674,271.0,304.0
enthusiastic,0.06112932153092228,19.0,21.0
separated,0.06112932153092228,19.0,21.0
whilst,0.06112932153092228,19.0,21.0
pictured,0.06620573255102483,233.0,261.0
homely,0.06772562764896187,28.0,31.0
route,0.07507349425822224,54.0,60.0
laundry,0.07734778688123878,227.0,254.0
forth,0.07808756529170122,20.0,22.0
bottles,0.09114466793962911,47.0,52.0
community,0.09195209163936112,81.0,90.0
joes,0.09429959048445653,21.0,23.0
cities,0.09429959048445653,21.0,23.0
pointed,0.09429959048445653,21.0,23.0
difference,0.09429959048445653,21.0,23.0
communicative,0.09729671657433882,239.0,267.0
instantly,0.09858497667022917,39.0,43.0
areas,0.100362526544242,256.0,286.0
rental,0.10739252322187823,323.0,361.0
desired,0.1098380758201395,22.0,24.0
roads,0.1098380758201395,22.0,24.0
learned,0.1098380758201395,22.0,24.0
saying,0.11043799463131193,40.0,44.0
thankful,0.12202747106897611,41.0,45.0
traveled,0.12202747106897611,41.0,45.0
she's,0.12467817531702324,102.0,113.0
depending,0.12476558612484075,23.0,25.0
logistics,0.12476558612484075,23.0,25.0
breakfasts,0.1338656130246415,51.0,56.0
office,0.13452729019766327,33.0,36.0
passing,0.13452729019766327,33.0,36.0
play,0.13516042084368385,129.0,143.0
essential,0.1391363492628286,24.0,26.0
saved,0.14446807240114198,43.0,47.0
encountered,0.15299766233166495,25.0,27.0
impression,0.15299766233166495,25.0,27.0
app,0.15875017678339548,35.0,38.0
calm,0.16443986153028226,81.0,89.0
businesses,0.16639101563538902,26.0,28.0
raining,0.16639101563538902,26.0,28.0
compact,0.16639101563538902,26.0,28.0
decoration,0.16639101563538902,26.0,28.0
activity,0.16639101563538902,26.0,28.0
wide,0.1704115844630031,36.0,39.0
standard,0.1704115844630031,36.0,39.0
drove,0.1724450460413464,64.0,70.0
takes,0.1753020816809988,161.0,178.0
meals,0.1790785748378155,153.0,169.0
reason,0.1890491078693688,75.0,82.0
convenience,0.19132233754736452,120.0,132.0
aspect,0.1919160411780207,28.0,30.0
starting,0.19291829762845322,38.0,41.0
eastlake,0.19291829762845322,38.0,41.0
settle,0.2037930718539704,39.0,42.0
decorations,0.2037930718539704,39.0,42.0
frequently,0.21443315225229914,40.0,43.0
vibrant,0.21638471909786638,50.0,54.0
surprisingly,0.22001346079624862,60.0,65.0
spending,0.22161051834840975,79.0,86.0
cross,0.22485052595874971,41.0,44.0
appreciate,0.22583592253331375,98.0,107.0
bite,0.22602789823677155,20.0,21.0
reserve,0.22602789823677155,20.0,21.0
familiar,0.2274853389124363,31.0,33.0
magnolia,0.2274853389124363,31.0,33.0
bigger,0.22887403858423683,61.0,66.0
control,0.23871273932203463,32.0,34.0
tools,0.2389190655626759,21.0,22.0
occasional,0.2389190655626759,21.0,22.0
lost,0.2445671610986892,53.0,57.0
reminded,0.2513501687411732,22.0,23.0
espresso,0.2513501687411732,22.0,23.0
exactly,0.2579598120606021,1072.0,1195.0
typical,0.2603406147141982,34.0,36.0
importantly,0.2603406147141982,34.0,36.0
neat,0.2655109086311223,274.0,302.0
decided,0.2728532488767921,76.0,82.0
answering,0.2795627352975827,67.0,72.0
tourist,0.28317153794238087,180.0,197.0
would've,0.2862642544225424,25.0,26.0
departure,0.2971205898050921,89.0,96.0
apple,0.2972130126942799,26.0,27.0
dvd,0.2972130126942799,26.0,27.0
explain,0.3078599603976182,27.0,28.0
chilly,0.31966727801550016,40.0,42.0
planned,0.3252728913551284,83.0,89.0
vibe,0.3252940042879785,93.0,100.0
stores,0.3402078369723083,282.0,309.0
confortable,0.3478250594849653,31.0,32.0
interesting,0.35307629324529577,294.0,322.0
rush,0.36645792293715107,33.0,34.0
contacted,0.3682078219702276,68.0,72.0
orderly,0.37752442609541403,20.0,20.0
online,0.3807587256613738,47.0,49.0
schedule,0.38413481887635625,171.0,185.0
bbq,0.38432723156282766,35.0,36.0
named,0.3868483398133989,21.0,21.0
appears,0.3889166754825919,48.0,50.0
electric,0.39300130269631556,36.0,37.0
cups,0.39300130269631556,36.0,37.0
rock,0.39595283994876307,22.0,22.0
crowded,0.39595283994876307,22.0,22.0
beacon,0.3969498847979321,49.0,51.0
linen,0.40485272957052704,23.0,23.0
soft,0.40721349800862366,126.0,135.0
support,0.4135612186227858,24.0,24.0
rarely,0.4135612186227858,24.0,24.0
remember,0.4180852139350584,39.0,40.0
wise,0.42209015410026185,25.0,25.0
reasons,0.43045020915349563,26.0,26.0
kettle,0.4340996016617463,41.0,42.0
functional,0.43790648142277794,89.0,94.0
plane,0.4386510397402588,27.0,27.0
immensely,0.44670141538152985,28.0,28.0
wave,0.44960641393199796,43.0,44.0
eclectic,0.4500706820254277,56.0,58.0
necessary,0.45258320589099854,113.0,120.0
cookware,0.45460932906945506,29.0,29.0
hip,0.4562071048723543,69.0,72.0
pillows,0.4746157377493916,138.0,147.0
flexibility,0.47754843860110097,32.0,32.0
clearly,0.4814909092523205,118.0,125.0
locations,0.5022676789874643,76.0,79.0
hosting,0.5055121624812057,100.0,105.0
commute,0.5065214227597978,36.0,36.0
shape,0.5065214227597978,36.0,36.0
opened,0.5073378816878863,51.0,52.0
seen,0.5118083183842551,65.0,67.0
nook,0.5135094752675102,37.0,37.0
positive,0.5139031386443228,156.0,166.0
girls,0.5141360918427164,52.0,53.0
change,0.5148528383496795,78.0,81.0
common,0.5148966247325268,90.0,94.0
single,0.5203566379639815,125.0,132.0
driving,0.5311432625004975,127.0,134.0
duration,0.5381748413457094,21.0,20.0
aquarium,0.5381748413457094,21.0,20.0
sweetheart,0.5381748413457094,21.0,20.0
terminal,0.5381748413457094,21.0,20.0
body,0.5405596881993797,41.0,41.0
accommodated,0.542987542602098,118.0,124.0
states,0.5437238122280736,22.0,21.0
independent,0.5437238122280736,22.0,21.0
happening,0.5471134660134881,42.0,42.0
dead,0.5493075348936194,23.0,22.0
short,0.5502714117331886,1174.0,1294.0
mirror,0.5549135202834581,24.0,23.0
normally,0.5605316196410893,25.0,24.0
talked,0.5661535547210603,26.0,25.0
suggestion,0.5661535547210603,26.0,25.0
artwork,0.5663202766324598,45.0,45.0
hall,0.5663202766324598,45.0,45.0
proved,0.5717725533629009,27.0,26.0
lines,0.5918804737345499,150.0,158.0
following,0.5941220478416952,31.0,30.0
supply,0.5941220478416952,31.0,30.0
bus,0.5968293669922767,1761.0,1946.0
needing,0.6029025683900844,51.0,51.0
present,0.6051745821873301,33.0,32.0
example,0.6051745821873301,33.0,32.0
terms,0.6075875791086331,67.0,68.0
village,0.6087861304572837,52.0,52.0
break,0.6106625731177759,34.0,33.0
power,0.6106625731177759,34.0,33.0
feature,0.6161231527252234,35.0,34.0
vancouver,0.6161231527252234,35.0,34.0
equipment,0.6215552519808274,36.0,35.0
post,0.6269580294753894,37.0,36.0
convention,0.6286435375353879,191.0,202.0
ideally,0.6323308356027543,38.0,37.0
explored,0.6376731826508635,39.0,38.0
seamless,0.6413569886461623,73.0,74.0
save,0.6429847197356863,40.0,39.0
second,0.648110684097261,311.0,333.0
coordinate,0.6482652117235962,41.0,40.0
believe,0.6484795828630904,59.0,59.0
gladly,0.6484795828630904,59.0,59.0
evening,0.652523753424838,302.0,323.0
car,0.6591183203474544,883.0,965.0
direct,0.6639194473912498,44.0,43.0
responses,0.6754068296063491,64.0,64.0
lives,0.675838203196102,107.0,110.0
public,0.6824857094812896,595.0,645.0
skyline,0.689389632850318,49.0,48.0
posting,0.6947334871253971,22.0,20.0
girl,0.6967895195558577,23.0,21.0
join,0.6991035166213114,24.0,22.0
definite,0.6991035166213114,24.0,22.0
wrote,0.7043699434283671,26.0,24.0
queries,0.7103105658411314,28.0,26.0
melissa's,0.7103105658411314,28.0,26.0
sit,0.7146506175869823,128.0,132.0
solo,0.7201424849850543,31.0,29.0
finally,0.7213502363030684,73.0,73.0
caught,0.7307506603596013,34.0,32.0
playground,0.7307506603596013,34.0,32.0
agreed,0.7307506603596013,34.0,32.0
review,0.7366899592614834,106.0,108.0
foot,0.7388329964206042,146.0,151.0
manual,0.745672186038604,38.0,36.0
furniture,0.7511499364113523,136.0,140.0
screen,0.7568233985050098,63.0,62.0
sites,0.7574502094899972,96.0,97.0
level,0.7607914471041535,151.0,156.0
says,0.7650486576409864,43.0,41.0
families,0.7689808810190111,44.0,42.0
accomodating,0.7738125036980317,84.0,84.0
streets,0.7829740879333847,86.0,86.0
ton,0.792029876315815,88.0,88.0
helpful,0.8003122100777015,2282.0,2513.0
heart,0.802666766464158,279.0,294.0
lady,0.8046860346700874,53.0,51.0
finding,0.8073662195877499,162.0,167.0
multiple,0.8098382205858846,92.0,92.0
points,0.8126298056170975,55.0,53.0
friendly,0.8200200574829408,2092.0,2300.0
machine,0.8229420508923388,95.0,95.0
advance,0.8324096096199632,60.0,58.0
responds,0.8451405441427388,26.0,23.0
delivered,0.845172996863256,27.0,24.0
chatted,0.845172996863256,27.0,24.0
gate,0.845172996863256,27.0,24.0
proper,0.845172996863256,27.0,24.0
picking,0.845172996863256,27.0,24.0
unusually,0.8454609865779725,25.0,22.0
colorful,0.8455187428900611,28.0,25.0
explaining,0.8455187428900611,28.0,25.0
reception,0.8461803942815528,24.0,21.0
scenic,0.8461803942815528,24.0,21.0
wandering,0.8461803942815528,24.0,21.0
individual,0.8473526740641006,23.0,20.0
closets,0.8473526740641006,23.0,20.0
opens,0.8473526740641006,23.0,20.0
accidentally,0.8473526740641006,23.0,20.0
specific,0.8481152894548074,31.0,28.0
presented,0.8481152894548074,31.0,28.0
spoke,0.8490413020180002,22.0,19.0
gotten,0.8490413020180002,22.0,19.0
seahawks,0.8494135488724788,32.0,29.0
inexpensive,0.8508925062982284,33.0,30.0
surprises,0.852534511368049,34.0,31.0
def,0.8562468469549367,36.0,33.0
industrial,0.8582908814418988,37.0,34.0
drinking,0.8650444225371271,40.0,37.0
person,0.8658010033378033,542.0,580.0
using,0.8705305467344117,376.0,398.0
arrive,0.8706768404578316,122.0,123.0
half,0.8713626099661399,178.0,183.0
type,0.8725506833973786,43.0,40.0
heads,0.8725506833973786,43.0,40.0
communications,0.8790860305968039,72.0,70.0
midnight,0.8806299739344327,46.0,43.0
sorry,0.8806299739344327,46.0,43.0
crazy,0.8806299739344327,46.0,43.0
especially,0.8819449637998394,558.0,597.0
center,0.8848160256695942,518.0,553.0
state,0.8920659766239079,50.0,47.0
schedules,0.8920659766239079,50.0,47.0
neighbourhood,0.9063012363477365,420.0,445.0
helped,0.9114293112208351,400.0,423.0
travelling,0.9132983416515159,57.0,54.0
kids,0.9162437427789161,253.0,263.0
plans,0.9169388805222572,101.0,100.0
question,0.9172172047422164,118.0,118.0
watch,0.9187476922114841,149.0,151.0
wrong,0.9195559040349421,59.0,56.0
nearly,0.9195559040349421,59.0,56.0
setup,0.9258724482223515,61.0,58.0
works,0.9515734976056301,127.0,127.0
sent,0.9585171733939186,112.0,111.0
reach,0.9599579378580738,145.0,146.0
spot,0.9705167520955765,824.0,886.0
informed,0.9758764387104768,35.0,31.0
downhill,0.9758764387104768,35.0,31.0
original,0.9758764387104768,35.0,31.0
reliable,0.9758764387104768,35.0,31.0
charge,0.9759414240687955,36.0,32.0
emp,0.9759414240687955,36.0,32.0
farmers,0.9764344563998721,33.0,29.0
changing,0.9771023652006455,32.0,28.0
storage,0.9774778536058729,77.0,74.0
channels,0.9793501953793412,30.0,26.0
unbeatable,0.9800645651491392,42.0,38.0
emergency,0.9809946422186139,29.0,25.0
seat,0.9809946422186139,29.0,25.0
upper,0.9812503992771183,43.0,39.0
closer,0.9825505517515255,44.0,40.0
knowing,0.9825505517515255,44.0,40.0
order,0.9839727499968075,79.0,76.0
comment,0.9855208170349191,27.0,23.0
suitcases,0.9855208170349191,27.0,23.0
chairs,0.9872189611204487,80.0,77.0
ocean,0.9884986469465886,26.0,22.0
urban,0.9961640031905675,104.0,102.0
important,0.9961640031905675,104.0,102.0
worry,0.9969484544408562,83.0,80.0
respect,1.0010378280494985,23.0,19.0
running,1.0160428346108925,128.0,127.0
attractions,1.0540086616132767,356.0,371.0
routes,1.0547015433455253,101.0,98.0
comes,1.0737445476370364,83.0,79.0
facilities,1.0798741924619044,109.0,106.0
easily,1.0844853935239476,560.0,592.0
mall,1.0911577199981506,45.0,40.0
portland,1.0913810149265204,46.0,41.0
posted,1.0918314283538502,41.0,36.0
likely,1.0922256385396545,48.0,43.0
particular,1.0943443134864688,38.0,33.0
read,1.0954243761998514,114.0,111.0
kid,1.0972223535203387,36.0,31.0
thinking,1.0972223535203387,36.0,31.0
total,1.0973789716452746,54.0,49.0
finished,1.0990853126042566,35.0,30.0
checked,1.1000739836435411,297.0,306.0
classic,1.1066913765771702,32.0,27.0
face,1.1070369797614819,61.0,56.0
accomodation,1.110007996821997,31.0,26.0
parked,1.1212554732694404,69.0,64.0
cutest,1.122885490951412,28.0,23.0
block,1.1252143015572007,440.0,460.0
comments,1.128332768397535,27.0,22.0
ground,1.1292509116694567,73.0,68.0
theater,1.1344668752694094,26.0,21.0
rides,1.1344668752694094,26.0,21.0
entered,1.1344668752694094,26.0,21.0
requests,1.1353260606681115,105.0,101.0
google,1.1413687301846693,25.0,20.0
narrow,1.1578673574981313,23.0,18.0
master,1.1743603356309356,93.0,88.0
history,1.1967437544892636,48.0,42.0
chill,1.1972838073317515,59.0,53.0
opening,1.198685259548857,61.0,55.0
delayed,1.19950022984357,62.0,56.0
