term,z,n_lower,n_upper
difficult,5.868308083907957,184.0,100.0
uncomfortable,5.893815037936206,106.0,40.0
sheets,5.936122997248863,245.0,149.0
fans,5.9581939771876335,133.0,59.0
main,5.970270722932086,406.0,289.0
wash,5.978276980297839,113.0,44.0
hot,5.992639074113401,557.0,427.0
previous,6.0128910486635485,138.0,62.0
weren't,6.019241153060455,177.0,92.0
adequate,6.0446025743057215,103.0,36.0
traffic,6.048537124232521,276.0,173.0
belltown,6.060693309596338,156.0,75.0
unfortunately,6.067006548553924,219.0,125.0
michael's,6.07632619150298,72.0,13.0
train,6.09826334492335,227.0,131.0
working,6.10254730555943,221.0,126.0
sofa,6.11483948434944,184.0,96.0
decent,6.1255997514211264,103.0,35.0
it's,6.13773836606592,2186.0,2041.0
party,6.148466400229533,191.0,101.0
sleeper,6.1698903577788045,115.0,43.0
manager,6.175000174108259,75.0,14.0
fairly,6.209485163092982,168.0,82.0
hear,6.2323320650392215,265.0,160.0
bedrooms,6.278464588334856,242.0,140.0
late,6.286861452772222,870.0,714.0
lock,6.301282824589406,162.0,76.0
checking,6.314481655585888,327.0,211.0
cons,6.316290355338982,75.0,11.0
fancy,6.327423017458195,91.0,24.0
homeless,6.3414013499187325,75.0,10.0
mattress,6.380139627910814,237.0,134.0
pool,6.426684360635692,86.0,19.0
convenient,6.452635582085343,1699.0,1526.0
stairs,6.452773179400616,182.0,89.0
hostel,6.476048180390726,78.0,9.0
you're,6.477685478226811,653.0,501.0
cheap,6.5409959179397905,126.0,46.0
aware,6.562159218984453,125.0,45.0
bars,6.599352603526889,992.0,819.0
broken,6.5994618902150215,81.0,10.0
expected,6.603340743769841,439.0,302.0
rail,6.628099711090937,479.0,337.0
downtown,6.658792022995249,3768.0,3642.0
amy's,6.680950972999431,99.0,25.0
unit,6.6894700328865735,813.0,644.0
construction,6.7225120311158655,142.0,55.0
open,6.745953242668699,557.0,404.0
simple,6.767300119265307,374.0,241.0
complex,6.9021169531784805,98.0,21.0
deal,6.902233351213469,291.0,168.0
pike,6.928648312171951,706.0,535.0
bad,6.970235703087215,219.0,109.0
lack,6.984362852112975,105.0,25.0
downside,7.112809238939723,123.0,36.0
pillow,7.174159794724298,120.0,33.0
work,7.2130047503659975,804.0,616.0
bungalow,7.334868779825616,146.0,49.0
hours,7.354020214768744,344.0,202.0
low,7.363671522501603,169.0,65.0
airport,7.377557056646965,474.0,312.0
square,7.399699542215658,167.0,63.0
isn't,7.497628302618528,206.0,90.0
beds,7.5231744185183285,590.0,410.0
value,7.596485416433118,285.0,149.0
group,7.622102284062377,307.0,166.0
bedroom,7.630129955968883,941.0,728.0
sleeping,7.688788368057434,310.0,167.0
internet,7.693124612359038,290.0,151.0
georgetown,7.6975674163553185,123.0,7.0
mentioned,7.72837342213991,214.0,92.0
said,7.763334048574332,382.0,224.0
cleaned,7.886137091519433,130.0,29.0
downstairs,7.886677359694663,334.0,182.0
door,7.895745190429873,803.0,590.0
capitol,7.9211088453852145,946.0,721.0
toilet,7.930643046732384,149.0,42.0
pioneer,7.955238441859824,168.0,55.0
worked,8.275612614356595,568.0,368.0
basic,8.303348814043439,225.0,90.0
older,8.315256741931147,182.0,59.0
window,8.37167290689175,313.0,155.0
old,8.379558684854565,582.0,377.0
problems,8.435082372083626,246.0,103.0
staff,8.447388013551802,139.0,25.0
dirty,8.563872321933623,142.0,11.0
small,8.667775174475528,1047.0,784.0
close,8.69382443457665,2933.0,2620.0
hill,8.96393140863579,1463.0,1160.0
smell,8.985725318080373,151.0,21.0
crash,9.085980265069631,162.0,30.0
easy,9.091556240670384,4412.0,4089.0
windows,9.396338806928416,518.0,294.0
keys,9.74457686445986,329.0,138.0
cleaning,9.891767314522228,205.0,46.0
problem,10.254858196629856,635.0,365.0
issues,10.902101964729994,353.0,130.0
issue,10.993974554674159,430.0,184.0
noisy,11.141374604035416,269.0,65.0
wifi,11.256954160750208,568.0,282.0
pretty,11.690206943820662,861.0,504.0
sleep,11.773509197550984,673.0,349.0
fine,11.89391222644845,477.0,196.0
people,11.929320571706162,1241.0,818.0
loud,12.300383831552756,286.0,44.0
wasn't,12.713631953278806,611.0,273.0
overall,13.833901669664396,1220.0,718.0
didn't,14.33208336339347,1948.0,1319.0
price,15.124048901213024,662.0,238.0
room,15.787232312006363,5453.0,4486.0
noise,15.800812173022862,734.0,268.0
location,15.952834780284542,7367.0,6344.0
check,16.524208685256127,2347.0,1542.0
building,18.470867438454427,1062.0,409.0
apartment,19.483215287215756,6900.0,5494.0
